WTCH_YM,ENN_LNN_MNTH_AVG_ANOMALY,ENN_LNN_3MNTH_AVG_ANOMALY,ENN_LNN_MNTH_AVG_VAL,ENN_LNN_NMYR_AVG,ENN_LNN_NMYR_STDDEV_VAL,UOM_NM
200702,0.085854,0.253589,26.753683,26.667831,1.007264,deg C
200703,-0.088814,-0.038709,27.09148,27.180296,0.817327,deg C
200704,-0.113165,-0.215293,27.658072,27.771236,0.657626,deg C
200705,-0.443898,-0.232185,27.397509,27.841408,0.614643,deg C
200706,-0.139493,-0.339156,27.525372,27.664865,0.627709,deg C
200707,-0.434076,-0.391566,26.809542,27.243618,0.677102,deg C
200708,-0.60113,-0.642591,26.234198,26.835327,0.818931,deg C
200709,-0.892565,-0.90678,25.802702,26.695267,0.834961,deg C
200710,-1.226646,-1.192442,25.472303,26.69895,1.01164,deg C
200711,-1.458114,-1.298769,25.298178,26.75629,1.177667,deg C
200712,-1.211546,-1.430654,25.365294,26.57684,1.219633,deg C
200801,-1.622302,-1.455025,24.872307,26.494608,1.164648,deg C
200802,-1.531225,-1.365555,25.136606,26.667831,1.007264,deg C
200803,-0.943138,-1.11054,26.237158,27.180296,0.817327,deg C
200804,-0.857256,-0.830876,26.91398,27.771236,0.657626,deg C
200805,-0.692233,-0.730625,27.149174,27.841408,0.614643,deg C
200806,-0.642385,-0.530888,27.022478,27.664865,0.627709,deg C
200807,-0.258046,-0.321443,26.985573,27.243618,0.677102,deg C
200808,-0.063899,-0.189661,26.77143,26.835327,0.818931,deg C
200809,-0.247038,-0.171159,26.448229,26.695267,0.834961,deg C
200810,-0.202541,-0.266324,26.496408,26.69895,1.01164,deg C
200811,-0.349392,-0.46436,26.406898,26.75629,1.177667,deg C
200812,-0.841149,-0.669305,25.735691,26.57684,1.219633,deg C
200901,-0.817373,-0.751936,25.677235,26.494608,1.164648,deg C
200902,-0.597286,-0.684298,26.070543,26.667831,1.007264,deg C
200903,-0.638235,-0.468732,26.542059,27.180296,0.817327,deg C
200904,-0.170674,-0.205305,27.600563,27.771236,0.657626,deg C
200905,0.192995,0.153336,28.034403,27.841408,0.614643,deg C
200906,0.437687,0.394053,28.102552,27.664865,0.627709,deg C
200907,0.551475,0.565287,27.795094,27.243618,0.677102,deg C
200908,0.706698,0.665067,27.542027,26.835327,0.818931,deg C
200909,0.737027,0.7901,27.432295,26.695267,0.834961,deg C
200910,0.926575,1.045629,27.625525,26.69895,1.01164,deg C
200911,1.473284,1.374735,28.229576,26.75629,1.177667,deg C
200912,1.724344,1.590528,28.301184,26.57684,1.219633,deg C
201001,1.573956,1.507226,28.068563,26.494608,1.164648,deg C
201002,1.223377,1.319273,27.891209,26.667831,1.007264,deg C
201003,1.160485,0.998144,28.340778,27.180296,0.817327,deg C
201004,0.610571,0.546876,28.381807,27.771236,0.657626,deg C
201005,-0.130427,-0.033788,27.710981,27.841408,0.614643,deg C
201006,-0.581509,-0.556462,27.083357,27.664865,0.627709,deg C
201007,-0.95745,-0.92876,26.286167,27.243618,0.677102,deg C
201008,-1.247321,-1.183545,25.588007,26.835327,0.818931,deg C
201009,-1.345863,-1.34016,25.349403,26.695267,0.834961,deg C
201010,-1.427297,-1.409012,25.271652,26.69895,1.01164,deg C
201011,-1.453877,-1.364754,25.302414,26.75629,1.177667,deg C
201012,-1.213089,-1.38729,25.36375,26.57684,1.219633,deg C
201101,-1.494903,-1.301472,24.999704,26.494608,1.164648,deg C
201102,-1.196424,-1.174298,25.471407,26.667831,1.007264,deg C
201103,-0.831565,-0.928426,26.348728,27.180296,0.817327,deg C
201104,-0.75729,-0.655189,27.013947,27.771236,0.657626,deg C
201105,-0.376711,-0.47475,27.464697,27.841408,0.614643,deg C
201106,-0.29025,-0.279868,27.374615,27.664865,0.627709,deg C
201107,-0.172644,-0.291691,27.070974,27.243618,0.677102,deg C
201108,-0.412179,-0.419353,26.42315,26.835327,0.818931,deg C
201109,-0.673238,-0.600911,26.02203,26.695267,0.834961,deg C
201110,-0.717316,-0.794262,25.981632,26.69895,1.01164,deg C
201111,-0.992233,-0.899857,25.764057,26.75629,1.177667,deg C
201112,-0.990021,-0.87669,25.586819,26.57684,1.219633,deg C
201201,-0.647816,-0.730213,25.846792,26.494608,1.164648,deg C
201202,-0.552801,-0.548513,26.115028,26.667831,1.007264,deg C
201203,-0.444922,-0.508841,26.735373,27.180296,0.817327,deg C
201204,-0.528799,-0.386926,27.242437,27.771236,0.657626,deg C
201205,-0.187057,-0.147401,27.65435,27.841408,0.614643,deg C
201206,0.273652,0.126547,27.938517,27.664865,0.627709,deg C
201207,0.293045,0.428276,27.536663,27.243618,0.677102,deg C
